[14:07:53.026] ================ START SliceEq SELF-TRAINING ================
[14:07:53.026] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='SliceEq_PROMISE12', model='unet', max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, pretrained_checkpoint='/home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth', sliceeq_radius=1, sliceeq_sigma_min=0.45, sliceeq_sigma_max=0.85, sliceeq_phase_min=-0.25, sliceeq_phase_max=0.25)
[14:07:53.303] Loaded shared pretrain checkpoint: /home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth
[14:07:53.304] Shared pretrain SHA-256: 49e8883039a5712102dc17c5277009504b55c232a10a0af1de4d26fbb414b9b9
[14:07:53.306] 15 iterations per epoch
[14:07:53.306] SliceEq profile: offsets=(-1,0,1), sigma=[0.450, 0.850], phase=[-0.250, 0.250]
[14:36:16.078] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_12000.pth
[14:36:52.808] iteration 12200 : mean_dice : 0.778637, best_dice : 0.787781
[14:37:28.733] iteration 12400 : mean_dice : 0.767139, best_dice : 0.787781
[14:38:03.946] iteration 12600 : mean_dice : 0.776158, best_dice : 0.787781
[14:38:41.165] iteration 12800 : mean_dice : 0.777997, best_dice : 0.787781
[14:39:17.851] iteration 13000 : mean_dice : 0.771350, best_dice : 0.787781
[14:39:54.903] iteration 13200 : mean_dice : 0.782809, best_dice : 0.787781
[14:40:33.064] iteration 13400 : mean_dice : 0.769328, best_dice : 0.787781
[14:41:09.734] iteration 13600 : mean_dice : 0.775230, best_dice : 0.787781
[14:41:46.716] iteration 13800 : mean_dice : 0.774332, best_dice : 0.787781
[14:42:23.975] iteration 14000 : mean_dice : 0.770015, best_dice : 0.787781
[14:43:07.522] iteration 14200 : mean_dice : 0.782732, best_dice : 0.787781
[14:43:55.208] iteration 14400 : mean_dice : 0.783703, best_dice : 0.787781
[14:44:44.337] iteration 14600 : mean_dice : 0.785898, best_dice : 0.787781
[14:45:33.648] iteration 14800 : mean_dice : 0.793202, best_dice : 0.793202
[14:46:22.213] iteration 15000 : mean_dice : 0.785786, best_dice : 0.793202
[14:46:22.223] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_15000.pth
[14:47:10.318] iteration 15200 : mean_dice : 0.797820, best_dice : 0.797820
[14:47:59.429] iteration 15400 : mean_dice : 0.787613, best_dice : 0.797820
[14:48:46.994] iteration 15600 : mean_dice : 0.781101, best_dice : 0.797820
[14:49:34.480] iteration 15800 : mean_dice : 0.789696, best_dice : 0.797820
[14:50:23.819] iteration 16000 : mean_dice : 0.782695, best_dice : 0.797820
[14:51:11.080] iteration 16200 : mean_dice : 0.797563, best_dice : 0.797820
[14:52:00.922] iteration 16400 : mean_dice : 0.796333, best_dice : 0.797820
[14:52:49.847] iteration 16600 : mean_dice : 0.798582, best_dice : 0.798582
[14:53:37.256] iteration 16800 : mean_dice : 0.778398, best_dice : 0.798582
[14:54:26.709] iteration 17000 : mean_dice : 0.788071, best_dice : 0.798582
[14:55:14.346] iteration 17200 : mean_dice : 0.802060, best_dice : 0.802060
[14:56:03.103] iteration 17400 : mean_dice : 0.789430, best_dice : 0.802060
[14:56:52.714] iteration 17600 : mean_dice : 0.794363, best_dice : 0.802060
[14:57:43.145] iteration 17800 : mean_dice : 0.787937, best_dice : 0.802060
[14:58:29.758] iteration 18000 : mean_dice : 0.800750, best_dice : 0.802060
[14:58:29.768] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_18000.pth
[14:59:19.491] iteration 18200 : mean_dice : 0.788273, best_dice : 0.802060
[15:00:07.686] iteration 18400 : mean_dice : 0.799376, best_dice : 0.802060
[15:00:54.612] iteration 18600 : mean_dice : 0.793886, best_dice : 0.802060
[15:01:46.004] iteration 18800 : mean_dice : 0.795688, best_dice : 0.802060
[15:02:35.224] iteration 19000 : mean_dice : 0.790472, best_dice : 0.802060
[15:03:22.554] iteration 19200 : mean_dice : 0.785909, best_dice : 0.802060
[15:04:13.622] iteration 19400 : mean_dice : 0.809343, best_dice : 0.809343
[15:05:02.018] iteration 19600 : mean_dice : 0.796977, best_dice : 0.809343
[15:05:49.469] iteration 19800 : mean_dice : 0.806442, best_dice : 0.809343
[15:06:38.273] iteration 20000 : mean_dice : 0.794213, best_dice : 0.809343
[15:07:26.201] iteration 20200 : mean_dice : 0.779927, best_dice : 0.809343
[15:08:15.460] iteration 20400 : mean_dice : 0.780778, best_dice : 0.809343
[15:09:04.796] iteration 20600 : mean_dice : 0.791702, best_dice : 0.809343
[15:09:52.896] iteration 20800 : mean_dice : 0.800681, best_dice : 0.809343
[15:10:32.529] iteration 21000 : mean_dice : 0.785465, best_dice : 0.809343
[15:10:32.538] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_21000.pth
[15:11:01.877] iteration 21200 : mean_dice : 0.793899, best_dice : 0.809343
[15:11:30.535] iteration 21400 : mean_dice : 0.789722, best_dice : 0.809343
