[10:11:57.282] ================ START BMER SELF-TRAINING ================
[10:11:57.282] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='BMER_PROMISE12', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, bmer_radius=8, bmer_sectors=16, bmer_position_bins=3, bmer_probability=0.5, bmer_strength_min=0.5, bmer_strength_max=1.0, bmer_min_foreground_pixels=32, bmer_bank_batch_size=24)
[10:11:57.320] Loaded pre-trained weights and optimizer from ../model/BMER_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[10:12:03.183] Frozen BMER bank: {'version': 1, 'radius': 8, 'sectors': 16, 'position_bins': 3, 'min_foreground_pixels': 32, 'counts': {0: 94, 1: 209, 2: 68}, 'total': 371, 'skipped': 378, 'frozen': True}
[10:12:03.183] Saved BMER bank to ../model/BMER_PROMISE12_7_labeled/self_train/unet/bmer_profile_bank.pt
[10:12:03.189] 15 iterations per epoch
[10:44:35.648] iteration 12200 : mean_dice : 0.778434, best_dice : 0.782094
[10:45:07.388] iteration 12400 : mean_dice : 0.778590, best_dice : 0.782094
[10:45:39.055] iteration 12600 : mean_dice : 0.786754, best_dice : 0.786754
[10:46:10.915] iteration 12800 : mean_dice : 0.781128, best_dice : 0.786754
[10:46:43.274] iteration 13000 : mean_dice : 0.782380, best_dice : 0.786754
[10:47:15.172] iteration 13200 : mean_dice : 0.777587, best_dice : 0.786754
[10:47:47.084] iteration 13400 : mean_dice : 0.781799, best_dice : 0.786754
[10:48:18.731] iteration 13600 : mean_dice : 0.775734, best_dice : 0.786754
[10:48:50.362] iteration 13800 : mean_dice : 0.781952, best_dice : 0.786754
[10:49:22.267] iteration 14000 : mean_dice : 0.780334, best_dice : 0.786754
[10:49:54.066] iteration 14200 : mean_dice : 0.776265, best_dice : 0.786754
[10:50:25.833] iteration 14400 : mean_dice : 0.782225, best_dice : 0.786754
[10:50:57.893] iteration 14600 : mean_dice : 0.781562, best_dice : 0.786754
[10:51:29.529] iteration 14800 : mean_dice : 0.777293, best_dice : 0.786754
[10:52:01.159] iteration 15000 : mean_dice : 0.771937, best_dice : 0.786754
