[08:54:11.861] ================ START SELF-TRAINING ================
[08:54:11.899] Loaded pre-trained weights and optimizer from ../model/CoDA_MT_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[08:54:11.900] 15 iterations per epoch
[09:21:45.995] iteration 14400 : mean_dice : 0.754562, best_dice : 0.776100
[09:22:10.343] iteration 14600 : mean_dice : 0.783461, best_dice : 0.783461
[09:22:34.201] iteration 14800 : mean_dice : 0.758927, best_dice : 0.783461
[09:22:58.190] iteration 15000 : mean_dice : 0.765219, best_dice : 0.783461
[09:22:58.200] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_15000.pth
[09:23:23.074] iteration 15200 : mean_dice : 0.766021, best_dice : 0.783461
[09:23:47.190] iteration 15400 : mean_dice : 0.763671, best_dice : 0.783461
[09:24:11.300] iteration 15600 : mean_dice : 0.765618, best_dice : 0.783461
[09:24:35.532] iteration 15800 : mean_dice : 0.769564, best_dice : 0.783461
[09:24:59.595] iteration 16000 : mean_dice : 0.778540, best_dice : 0.783461
[09:25:23.707] iteration 16200 : mean_dice : 0.777253, best_dice : 0.783461
[09:25:48.075] iteration 16400 : mean_dice : 0.779433, best_dice : 0.783461
[09:26:12.109] iteration 16600 : mean_dice : 0.771899, best_dice : 0.783461
[09:26:36.258] iteration 16800 : mean_dice : 0.773954, best_dice : 0.783461
[09:27:00.596] iteration 17000 : mean_dice : 0.777696, best_dice : 0.783461
[09:27:24.444] iteration 17200 : mean_dice : 0.770282, best_dice : 0.783461
[09:27:48.780] iteration 17400 : mean_dice : 0.763430, best_dice : 0.783461
[09:28:13.196] iteration 17600 : mean_dice : 0.696255, best_dice : 0.783461
[09:28:37.296] iteration 17800 : mean_dice : 0.765335, best_dice : 0.783461
[09:29:01.414] iteration 18000 : mean_dice : 0.787018, best_dice : 0.787018
[09:29:01.422] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_18000.pth
[09:29:25.807] iteration 18200 : mean_dice : 0.771178, best_dice : 0.787018
[09:29:49.785] iteration 18400 : mean_dice : 0.778583, best_dice : 0.787018
[09:30:13.610] iteration 18600 : mean_dice : 0.781435, best_dice : 0.787018
[09:30:38.092] iteration 18800 : mean_dice : 0.787673, best_dice : 0.787673
[09:31:02.634] iteration 19000 : mean_dice : 0.785488, best_dice : 0.787673
[09:31:26.746] iteration 19200 : mean_dice : 0.762274, best_dice : 0.787673
[09:31:50.907] iteration 19400 : mean_dice : 0.777975, best_dice : 0.787673
[09:32:14.832] iteration 19600 : mean_dice : 0.779803, best_dice : 0.787673
[09:32:38.970] iteration 19800 : mean_dice : 0.788959, best_dice : 0.788959
[09:33:02.044] iteration 20000 : mean_dice : 0.769453, best_dice : 0.788959
[09:33:20.295] iteration 20200 : mean_dice : 0.776894, best_dice : 0.788959
[09:33:38.427] iteration 20400 : mean_dice : 0.780750, best_dice : 0.788959
[09:33:56.878] iteration 20600 : mean_dice : 0.787117, best_dice : 0.788959
[09:34:19.157] iteration 20800 : mean_dice : 0.768829, best_dice : 0.788959
[09:34:44.400] iteration 21000 : mean_dice : 0.789325, best_dice : 0.789325
[09:34:44.408] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_21000.pth
[09:35:10.045] iteration 21200 : mean_dice : 0.784964, best_dice : 0.789325
[09:35:35.076] iteration 21400 : mean_dice : 0.788904, best_dice : 0.789325
[09:35:59.782] iteration 21600 : mean_dice : 0.784258, best_dice : 0.789325
[09:36:24.897] iteration 21800 : mean_dice : 0.758139, best_dice : 0.789325
[09:36:49.812] iteration 22000 : mean_dice : 0.787824, best_dice : 0.789325
[09:37:11.641] iteration 22200 : mean_dice : 0.794151, best_dice : 0.794151
[09:37:30.666] iteration 22400 : mean_dice : 0.794435, best_dice : 0.794435
[09:37:49.253] iteration 22600 : mean_dice : 0.804241, best_dice : 0.804241
[09:38:07.983] iteration 22800 : mean_dice : 0.796407, best_dice : 0.804241
[09:38:26.643] iteration 23000 : mean_dice : 0.794435, best_dice : 0.804241
[09:38:45.066] iteration 23200 : mean_dice : 0.793783, best_dice : 0.804241
[09:39:14.709] iteration 23400 : mean_dice : 0.787189, best_dice : 0.804241
[09:39:39.895] iteration 23600 : mean_dice : 0.786915, best_dice : 0.804241
[09:40:05.052] iteration 23800 : mean_dice : 0.787723, best_dice : 0.804241
[09:40:29.924] iteration 24000 : mean_dice : 0.783971, best_dice : 0.804241
[09:40:29.934] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_24000.pth
[09:40:55.204] iteration 24200 : mean_dice : 0.793690, best_dice : 0.804241
[09:41:20.130] iteration 24400 : mean_dice : 0.796081, best_dice : 0.804241
[09:41:44.756] iteration 24600 : mean_dice : 0.796837, best_dice : 0.804241
[09:42:03.273] iteration 24800 : mean_dice : 0.801061, best_dice : 0.804241
[09:42:21.548] iteration 25000 : mean_dice : 0.795554, best_dice : 0.804241
[09:42:39.919] iteration 25200 : mean_dice : 0.797782, best_dice : 0.804241
[09:42:58.312] iteration 25400 : mean_dice : 0.794841, best_dice : 0.804241
[09:43:16.559] iteration 25600 : mean_dice : 0.800449, best_dice : 0.804241
[09:43:34.924] iteration 25800 : mean_dice : 0.789697, best_dice : 0.804241
[09:43:53.387] iteration 26000 : mean_dice : 0.797018, best_dice : 0.804241
[09:44:11.576] iteration 26200 : mean_dice : 0.799496, best_dice : 0.804241
[09:44:29.815] iteration 26400 : mean_dice : 0.795608, best_dice : 0.804241
[09:44:48.332] iteration 26600 : mean_dice : 0.793337, best_dice : 0.804241
[09:45:06.618] iteration 26800 : mean_dice : 0.796325, best_dice : 0.804241
[09:45:24.751] iteration 27000 : mean_dice : 0.796049, best_dice : 0.804241
[09:45:24.760] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_27000.pth
[09:45:43.204] iteration 27200 : mean_dice : 0.804897, best_dice : 0.804897
[09:46:01.422] iteration 27400 : mean_dice : 0.794509, best_dice : 0.804897
[09:46:19.628] iteration 27600 : mean_dice : 0.799601, best_dice : 0.804897
[09:46:38.190] iteration 27800 : mean_dice : 0.780180, best_dice : 0.804897
[09:46:56.426] iteration 28000 : mean_dice : 0.788682, best_dice : 0.804897
[09:47:14.671] iteration 28200 : mean_dice : 0.793116, best_dice : 0.804897
[09:47:33.070] iteration 28400 : mean_dice : 0.792589, best_dice : 0.804897
[09:47:51.264] iteration 28600 : mean_dice : 0.790426, best_dice : 0.804897
[09:48:09.569] iteration 28800 : mean_dice : 0.793351, best_dice : 0.804897
[09:48:28.130] iteration 29000 : mean_dice : 0.793146, best_dice : 0.804897
[09:48:46.363] iteration 29200 : mean_dice : 0.796232, best_dice : 0.804897
[09:49:04.566] iteration 29400 : mean_dice : 0.792988, best_dice : 0.804897
[09:49:22.960] iteration 29600 : mean_dice : 0.799474, best_dice : 0.804897
[09:49:41.172] iteration 29800 : mean_dice : 0.792843, best_dice : 0.804897
[09:50:00.143] iteration 30000 : mean_dice : 0.797537, best_dice : 0.804897
[09:50:00.154] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_30000.pth
